Sexo;Edad;Familia profesional;Total
Ambos sexos;De 35 y más años;Comercio y marketing;3,8
Ambos sexos;De 35 y más años;Servicios socioculturales y a la comunidad;2,2
Ambos sexos;De 35 y más años;Hostelería y turismo;2,6
Ambos sexos;De 35 y más años;Actividades físicas y deportivas;6,1
Ambos sexos;De 35 y más años;Enseñanzas artísticas profesionales;8,1
Ambos sexos;De 35 y más años;Otras familias profesionales;5,5
Hombres;Total;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Hombres;Total;Agraria;1,5
Hombres;Total;Industrias alimentarias;0,4
Hombres;Total;Química;0,7
Hombres;Total;Imagen personal;0,3
Hombres;Total;Sanidad;10,1
Hombres;Total;Fabricación mecánica;3,3
Hombres;Total;Electricidad y electrónica;17,1
Hombres;Total;Transporte y mantenimiento de vehículos;3
Hombres;Total;Imagen y sonido;1,7
Hombres;Total;Administración y gestión;14,4
Hombres;Total;Comercio y marketing;2,8
Hombres;Total;Servicios socioculturales y a la comunidad;1,3
Hombres;Total;Hostelería y turismo;4
Hombres;Total;Actividades físicas y deportivas;21,5
Hombres;Total;Enseñanzas artísticas profesionales;16,7
Hombres;Total;Otras familias profesionales;5,8
Hombres;Menores de 30 años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Hombres;Menores de 30 años;Agraria;0
Hombres;Menores de 30 años;Industrias alimentarias;0,3
Hombres;Menores de 30 años;Química;0
Hombres;Menores de 30 años;Imagen personal;0,9
Hombres;Menores de 30 años;Sanidad;6,7
Hombres;Menores de 30 años;Fabricación mecánica;0
Hombres;Menores de 30 años;Electricidad y electrónica;0,4
Hombres;Menores de 30 años;Transporte y mantenimiento de vehículos;0,6
Hombres;Menores de 30 años;Imagen y sonido;0,4
Hombres;Menores de 30 años;Administración y gestión;0
Hombres;Menores de 30 años;Comercio y marketing;0
Hombres;Menores de 30 años;Servicios socioculturales y a la comunidad;0
Hombres;Menores de 30 años;Hostelería y turismo;2,7
Hombres;Menores de 30 años;Actividades físicas y deportivas;46,1
Hombres;Menores de 30 años;Enseñanzas artísticas profesionales;41,7
Hombres;Menores de 30 años;Otras familias profesionales;0,3
Hombres;De 30 a 34 años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Hombres;De 30 a 34 años;Agraria;2,5
Hombres;De 30 a 34 años;Industrias alimentarias;0,7
Hombres;De 30 a 34 años;Química;0,6
Hombres;De 30 a 34 años;Imagen personal;0
Hombres;De 30 a 34 años;Sanidad;7,1
Hombres;De 30 a 34 años;Fabricación mecánica;2,5
Hombres;De 30 a 34 años;Electricidad y electrónica;13,6
Hombres;De 30 a 34 años;Transporte y mantenimiento de vehículos;5,3
Hombres;De 30 a 34 años;Imagen y sonido;3
Hombres;De 30 a 34 años;Administración y gestión;14,9
Hombres;De 30 a 34 años;Comercio y marketing;2,5
Hombres;De 30 a 34 años;Servicios socioculturales y a la comunidad;3,5
Hombres;De 30 a 34 años;Hostelería y turismo;5,3
Hombres;De 30 a 34 años;Actividades físicas y deportivas;19,4
Hombres;De 30 a 34 años;Enseñanzas artísticas profesionales;13,2
Hombres;De 30 a 34 años;Otras familias profesionales;6,8
Hombres;De 35 y más años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Hombres;De 35 y más años;Agraria;1,4
Hombres;De 35 y más años;Industrias alimentarias;0,2
Hombres;De 35 y más años;Química;1,1
Hombres;De 35 y más años;Imagen personal;0,1
Hombres;De 35 y más años;Sanidad;14,9
Hombres;De 35 y más años;Fabricación mecánica;6,1
Hombres;De 35 y más años;Electricidad y electrónica;30,6
Hombres;De 35 y más años;Transporte y mantenimiento de vehículos;2,3
Hombres;De 35 y más años;Imagen y sonido;1,2
Hombres;De 35 y más años;Administración y gestión;22,6
Hombres;De 35 y más años;Comercio y marketing;4,7
Hombres;De 35 y más años;Servicios socioculturales y a la comunidad;0
Hombres;De 35 y más años;Hostelería y turismo;3,5
Hombres;De 35 y más años;Actividades físicas y deportivas;8,4
Hombres;De 35 y más años;Enseñanzas artísticas profesionales;4,9
Hombres;De 35 y más años;Otras familias profesionales;8,2
Mujeres;Total;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Mujeres;Total;Agraria;1
Mujeres;Total;Industrias alimentarias;0,7
Mujeres;Total;Química;1,2
Mujeres;Total;Imagen personal;5,4
Mujeres;Total;Sanidad;28,5
Mujeres;Total;Fabricación mecánica;0,1
Mujeres;Total;Electricidad y electrónica;0,3
Mujeres;Total;Transporte y mantenimiento de vehículos;0,5
Mujeres;Total;Imagen y sonido;0,8
Mujeres;Total;Administración y gestión;20,9
Mujeres;Total;Comercio y marketing;3,2
Mujeres;Total;Servicios socioculturales y a la comunidad;6,8
Mujeres;Total;Hostelería y turismo;1,7
Mujeres;Total;Actividades físicas y deportivas;5,6
Mujeres;Total;Enseñanzas artísticas profesionales;24,9
Mujeres;Total;Otras familias profesionales;2,4
Mujeres;Menores de 30 años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Mujeres;Menores de 30 años;Agraria;0,2
Mujeres;Menores de 30 años;Industrias alimentarias;1,3
Mujeres;Menores de 30 años;Química;0
Mujeres;Menores de 30 años;Imagen personal;1,7
Mujeres;Menores de 30 años;Sanidad;12,8
Mujeres;Menores de 30 años;Fabricación mecánica;0,4
Mujeres;Menores de 30 años;Electricidad y electrónica;0
Mujeres;Menores de 30 años;Transporte y mantenimiento de vehículos;0
Mujeres;Menores de 30 años;Imagen y sonido;0
Mujeres;Menores de 30 años;Administración y gestión;6,8
Mujeres;Menores de 30 años;Comercio y marketing;2
Mujeres;Menores de 30 años;Servicios socioculturales y a la comunidad;4,3
Mujeres;Menores de 30 años;Hostelería y turismo;1,5
Mujeres;Menores de 30 años;Actividades físicas y deportivas;10,5
Mujeres;Menores de 30 años;Enseñanzas artísticas profesionales;57,8
Mujeres;Menores de 30 años;Otras familias profesionales;1,1
Mujeres;De 30 a 34 años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Mujeres;De 30 a 34 años;Agraria;0,8
Mujeres;De 30 a 34 años;Industrias alimentarias;0
Mujeres;De 30 a 34 años;Química;1,6
Mujeres;De 30 a 34 años;Imagen personal;8,6
Mujeres;De 30 a 34 años;Sanidad;23,6
Mujeres;De 30 a 34 años;Fabricación mecánica;0
Mujeres;De 30 a 34 años;Electricidad y electrónica;0
Mujeres;De 30 a 34 años;Transporte y mantenimiento de vehículos;0,9
Mujeres;De 30 a 34 años;Imagen y sonido;0,7
Mujeres;De 30 a 34 años;Administración y gestión;25,2
Mujeres;De 30 a 34 años;Comercio y marketing;4,1
Mujeres;De 30 a 34 años;Servicios socioculturales y a la comunidad;11,9
Mujeres;De 30 a 34 años;Hostelería y turismo;1,4
Mujeres;De 30 a 34 años;Actividades físicas y deportivas;3,4
Mujeres;De 30 a 34 años;Enseñanzas artísticas profesionales;18,1
Mujeres;De 30 a 34 años;Otras familias profesionales;2
Mujeres;De 35 y más años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Mujeres;De 35 y más años;Agraria;1,8
Mujeres;De 35 y más años;Industrias alimentarias;0,9
Mujeres;De 35 y más años;Química;1,5
Mujeres;De 35 y más años;Imagen personal;4,8
Mujeres;De 35 y más años;Sanidad;43,1
Mujeres;De 35 y más años;Fabricación mecánica;0
Mujeres;De 35 y más años;Electricidad y electrónica;0,8
Mujeres;De 35 y más años;Transporte y mantenimiento de vehículos;0,5
Mujeres;De 35 y más años;Imagen y sonido;1,4
Mujeres;De 35 y más años;Administración y gestión;25,9
Mujeres;De 35 y más años;Comercio y marketing;3,1
Mujeres;De 35 y más años;Servicios socioculturales y a la comunidad;3,7
Mujeres;De 35 y más años;Hostelería y turismo;2
Mujeres;De 35 y más años;Actividades físicas y deportivas;4,6
Mujeres;De 35 y más años;Enseñanzas artísticas profesionales;10,3
Mujeres;De 35 y más años;Otras familias profesionales;3,7
