id,cost,category,name,brand,retail_price,department
3206,38.3149999529,dresses,agb women's long sleeve striped sweater dress,agb,79.0,women
3660,21.9196497138,dresses,agb women's short sleeve cowl necked sweater dress,agb,50.3899993896,women
3682,18.9562992595,dresses,agb women's striped long sleeve sweater dress with sash,agb,45.3499984741,women
3730,39.070999939,dresses,agb women's v-neck dress with draped side,agb,89.0,women
3943,26.2808003246,dresses,agb women's plus-size ruched short sleeve v-neck dress with empire waistline,agb,53.2000007629,women
5353,22.4699999671,pants & capris,agb women's solid challis palazzo pant with self sash,agb,42.0,women
5433,11.6409594609,pants & capris,bke women's casual linen cotton natural comfortable pants,bke,20.2099990845,women
9035,1.3983000106,socks & hosiery,hde women's solid color premium microfiber tights,hde,3.9500000477,women
14170,1.1859000151,accessories,hde ladies fashion leather skinny belt with bow buckle & gold accents,hde,2.9500000477,women
28411,2.083760045,accessories,hde solid color suspenders - 20 styles,hde,4.8800001144,men
28548,1.2803000217,accessories,hde classic bow tie,hde,2.9500000477,men
28873,1.3904000093,accessories,hde colorful pattern suspenders,hde,3.9500000477,men
29033,1.7182500154,accessories,hde pattern suspenders,hde,3.9500000477,men
25038,7.600199878,socks,huf plantlife crew socks,huf,11.9499998093,men
17159,28.4298309186,fashion hoodies & sweatshirts,independent trading co. mens sherpa lined full-zip contrast hooded sweatshirt (assorted colors),itc,54.9900016785,men
5357,15.4504798516,pants & capris,(1272) ladies wide leg smart city trousers light brown,ice,27.9899997711,women
5440,13.463189907,pants & capris,(1272) wide leg smart soft city trousers black,ice,27.9899997711,women
5474,13.8944398694,pants & capris,(1279) skinny trousers military army look camourflage,ice,24.9899997711,women
7234,9.1963198406,skirts,(2384) fishtail peplum hem pencil skirt black,ice,24.9899997711,women
7236,11.3836198293,skirts,ice (2328) stretch black satin pencil skirt-14,ice,25.9899997711,women
7246,9.4520598728,skirts,(2328) satin pencil skirt with skinny belt purple,ice,23.9899997711,women
7377,10.1959198789,skirts,(2382) waist detail pencil skirt shadow stripe,ice,24.9899997711,women
7448,9.1713298832,skirts,(2384) fishtail flute skirt with free skinny belt beige,ice,24.9899997711,women
7903,10.5675899801,blazers & jackets,ice (5066) ladies smart herring bone tweed jacket brown 6-16,ice,30.9899997711,women
8080,37.1136011088,suits,(6252) pinstripe tailored boot leg trouser suit,ice,57.9900016785,women
8089,49.1655286088,suits,(6249-2) smart satin evening suit with flute skirt beige,ice,75.9899978638,women
8093,14.1395699177,suits,ice (2327) smart stretch pencil skirt + free belt black size 6-14,ice,21.9899997711,women
8101,8.505919887,suits,ice (2210) stretch pencil skirt school office navy blue sizes 4-14,ice,13.9899997711,women
8103,38.1173089182,suits,ice (6237-2) pinstripe tailored trouser suit dark brown sizes 8-16,ice,66.9899978638,women
8107,36.057561151,suits,(6251) smart casual tailored trouser suit dark grey,ice,55.9900016785,women
8109,37.7541011,suits,(6240) dip hemmed flute skirt suit pinstripe black,ice,63.9900016785,women
8110,9.7012899088,suits,ice (2356) stretch pencil skirt smart casual black 4-16,ice,16.9899997711,women
8139,59.5137987757,suits,(6242) function cocktail lace bolero skirt suit black,ice,95.9899978638,women
8145,44.8340988698,suits,(6249-3) teddy style function suit with pencil skirt grey,ice,75.9899978638,women
8148,42.9060388204,suits,ice (6234) smart tailored pencil skirt suit grey stripe sizes 10-18,ice,71.9899978638,women
8155,42.8735986727,suits,ice (6237-1) pinstripe tailored trouser suit dark navy blue sizes 8-16,ice,66.9899978638,women
8158,15.1261799257,suits,ice (2347) pencil skirt stretch sateen + free belt red size 6-16,ice,25.9899997711,women
8160,15.6979599054,suits,ice (2328) pencil skirt stretch satin + free belt red size 6-16,ice,25.9899997711,women
8162,9.820219895,suits,ice smart stretch pencil skirt beige 4-16,ice,16.9899997711,women
8185,10.2619598903,suits,ice (2356) stretch pencil skirt smart casual wine 4-16,ice,16.9899997711,women
8188,35.497661251,suits,(6239) waist detail pencil skirt suit shadow stripe black,ice,55.9900016785,women
8189,19.2043509939,suits,ice (2359) lined chelsea beaded pencil skirt black sizes 8-18,ice,33.9900016785,women
8191,43.6979288261,suits,ice (6230) smart pencil skirt suit black shadow stripe sizes 10-20,ice,71.9899978638,women
8194,16.1397898892,suits,ice (2328) pencil skirt stretch satin + free belt black size 6-16,ice,25.9899997711,women
8195,39.6580788097,suits,ice (6235) smart tailored trouser suit dark grey sizes 10-20,ice,66.9899978638,women
8197,16.1917698973,suits,ice (2347) pencil skirt stretch sateen + free belt silver grey size 6-16,ice,25.9899997711,women
8199,17.1656398528,suits,ice (2360) smart fully lined suit pencil skirt texture dark grey sizes 10-20,ice,26.9899997711,women
8208,16.2177599013,suits,ice (2347) pencil skirt stretch sateen + free belt black size 6-16,ice,25.9899997711,women
8209,9.8372098976,suits,ice (2356) towie stretch pencil skirt olympic red 4-16,ice,16.9899997711,women
70,56.924999834,tops & tees,lna women's beach raglan sweater,lna,99.0,women
791,44.6489999309,sweaters,lna women's alexandrine sweater,lna,99.0,women
2060,6.0339999981,fashion hoodies & sweatshirts,next level apparel ladies juniors' soft thermal hoodie t-shirt. 8021,nla,14.0,women
1935,59.9040000737,fashion hoodies & sweatshirts,qsw women's native cocoon hoodie,qsw,128.0,women
1972,36.8760000989,fashion hoodies & sweatshirts,qsw women's seabreeze wrap,qsw,84.0,women
2349,38.4720000476,fashion hoodies & sweatshirts,qsw women's sand dunes hoodie sweater,qsw,84.0,women
6529,31.9600000456,shorts,qsw women's hannah's vintage cutoff short,qsw,68.0,women
12746,27.840000093,swim,tyr sport women's solid diamondback swim suit,tyr,60.0,women
12750,34.9395192498,swim,tyr sport women's firerock diamondback swim suit,tyr,77.9899978638,women
12757,22.7810004507,swim,tyr sport women's solid maxback swim suit,tyr,59.9500007629,women
12762,20.8161003752,swim,tyr sport women's solid durafast diamondback workout bikini,tyr,45.4500007629,women
12768,21.7463994825,swim,tyr sport women's solid diamondback workout bikini swim suit,tyr,55.7599983215,women
12794,17.1416396257,swim,tyr sport women's solid durafast maxback swim suit,tyr,40.6199989319,women
12803,28.0961989036,swim,tyr sport women's reversible solid diamondback swim suit,tyr,70.9499969482,women
12807,31.1314292468,swim,tyr alliance maxback women's suit,tyr,76.4899978638,women
12815,19.1719207639,swim,tyr sport women's durafast diamondback with stripping swim suit,tyr,46.9900016785,women
12850,20.4963504713,swim,tyr sport women's alliance durafast splice diamondback swim suit,tyr,54.9500007629,women
12967,22.6162306524,swim,tyr sport women's aurora maxback swim suit,tyr,59.9900016785,women
13052,22.5185407575,swim,tyr sport girls' solid durafast maxback swim suit,tyr,49.0600013733,women
13077,23.744000110800002,swim,tyr sport women's universe diamondback swim suit,tyr,56.0,women
13190,27.9480001479,swim,tyr sport women's reversible solid maxback swim suit,tyr,68.0,women
13312,30.3120001322,swim,tyr sport women's great white diamondback swim suit,tyr,72.0,women
13350,21.1680693959,swim,tyr sport women's alliance durafast splice diamondback swim suit,tyr,52.0099983215,women
27445,24.7196611943,swim,tyr sport men's square leg short swim suit,tyr,38.9900016785,men
27457,15.8976002551,swim,tyr sport men's solid durafast jammer swim suit,tyr,27.6000003815,men
27466,17.8500000481,swim,tyr sport men's swim short/resistance short swim suit,tyr,30.0,men
27481,29.4080005157,swim,tyr alliance team splice jammer,tyr,45.9500007629,men
27487,15.6555899145,swim,tyr sport men's 4-inch nylon trainer-a swim suit,tyr,26.4899997711,men
27510,22.5717504846,swim,tyr sport men's solid jammer swim suit,tyr,39.9500007629,men
27529,22.8240001202,swim,tyr sport men's poly mesh trainer swim suit,tyr,36.0,men
27537,24.3539110663,swim,tyr sport men's alliance durafast splice square leg swim suit,tyr,39.9900016785,men
27552,19.3175505019,swim,tyr sport men's solid racer swim suit,tyr,33.9500007629,men
27599,16.4362001696,swim,tyr sport men's 8-inch nylon team trainer swim suit,tyr,26.5100002289,men
27674,27.0659195201,swim,tyr sport men's firerock splice jammer swim suit,tyr,44.9599990845,men
27812,14.8940398961,swim,tyr sport men's solid durafast racer swim suit,tyr,24.9899997711,men
27960,15.0750000379,swim,tyr sport men's firerock splice racer swim suit,tyr,25.0,men
27976,16.9357504992,swim,tyr sport men's alliance durafast splice racer swim suit,tyr,28.9500007629,men
28039,21.6980000883,swim,tyr sport men's universe racer,tyr,38.0,men
28167,24.8400000483,swim,tyr sport men's universe splice jammer,tyr,40.0,men
28204,30.9400000833,swim,tyr sport men's great white epic splice jammer swim suit,tyr,52.0,men
1513,5.5207498882,sweaters,vip womens bright crochet pullover sweater,vip,12.9899997711,women
3580,5.6519598959,dresses,vip womens ladies belted pleated skater party dress,vip,13.9899997711,women
4330,21.1660000011,jeans,ymi juniors five pocket jegging jean,ymi,38.0,women
4474,16.0424795679,jeans,ymi juniors floral skinny,ymi,27.4699993134,women
4477,14.925300381,jeans,ymi belted flare leg jeans [p466255-b1093],ymi,27.9500007629,women
4889,15.8865198597,jeans,ymi sandblasted stretch skinny jeans [p139657],ymi,28.9899997711,women
4946,13.8249999844,jeans,ymi juniors fleur de lis capri jean,ymi,25.0,women
4983,15.8285398506,jeans,ymi stretch bootcut jeans w/ button-flap pockets [p362075],ymi,28.9899997711,women
6332,5.3024399471,shorts,ymi juniors heavy stitch bermuda,ymi,11.3299999237,women
6361,12.5199898865,shorts,ymi stretch 5-pocket denim bermuda shorts [m66169],ymi,24.9899997711,women
6463,20.1019999683,shorts,ymi juniors colored denim short,ymi,38.0,women
6583,11.5203898744,shorts,ymi cuffed denim shorts w/ wide waistband [s101437],ymi,24.9899997711,women
6591,20.2539999932,shorts,ymi juniors embroidered short,ymi,38.0,women
6793,11.4432298898,shorts,ymi stretch distressed & frayed denim shorts,ymi,23.9899997711,women
25089,19.7337195085,socks,3 - prs. 5.11 tactical 9 inch socks black,5.11,31.8799991608,men
29099,13.8052502532,accessories,beza geneva money clamp black matte with wallet,beza,34.9500007629,men
3212,25.7399999723,dresses,bobi women's modal jersey cowl neck dress,bobi,60.0,women
3351,41.4799998328,dresses,bobi women's supreme jersey cutout sleeve dress,bobi,85.0,women
15178,27.2400001064,maternity,boob designs fast food nursing bra,boob,60.0,women
24721,6.6990000121,socks,ecco men's cushion mercerized cotton sock,ecco,11.0,men
24771,6.1700000241,socks,ecco men's crew golf cushion with mesh top sock,ecco,10.0,men
25335,15.2550000362,socks,ecco men's 3-pack solid rib cushion sock,ecco,27.0,men
25341,9.1888698861,socks,ecco men's single cushioned crew socks,ecco,14.9899997711,men
12710,43.9040002599,swim,echo design women's crinkle shirt dress,echo,98.0,women
12717,46.7280001864,swim,echo design women's solid ruched one piece,echo,118.0,women
12720,26.9280001074,swim,echo design women's solid open shoulder dress,echo,68.0,women
12721,22.0320001245,swim,echo design women's braided halter dress,echo,48.0,women
12734,17.9040001631,swim,echo design women's loco stripe short caftan,echo,48.0,women
12918,20.8320001066,swim,echo design women's batik leaves butterfly tunic,echo,48.0,women
12974,45.4720001519,swim,echo design women's graphic diamonds tunic with beads,echo,98.0,women
13015,11.1758000209,swim,echo design women's solid butterfly with braided ties,echo,29.4099998474,women
13126,24.819479168,swim,echo design women's metallic stripe butterfly tunic,echo,52.9199981689,women
13152,15.0362407121,swim,echo design women's silk beach cover up dress shirt,echo,39.9900016785,women
13184,30.1079999954,swim,echo design women's mambo circles keyhole tunic,echo,78.0,women
13226,54.2800001055,swim,echo design women's solid low back one piece,echo,118.0,women
13284,5.5866702171,swim,echo design women's sundial pareo,echo,13.2700004578,women
13353,38.318000257,swim,echo design women's cheetah dress with ties,echo,98.0,women
13475,38.3680002242,swim,echo design women's mediterranean stripe butterfly tunic,echo,88.0,women
13489,18.8640000522,swim,echo design women's cheetah butterfly tunic,echo,48.0,women
13499,9.5250000246,swim,echo design women's asymmetrical t-shirt cover-up,echo,25.0,women
13568,27.08550019,swim,echo design women's palm leaf butterfly coverups,echo,58.5,women
13952,8.9355298357,accessories,echo design women's basic touch glove,echo,19.9899997711,women
14032,17.0999999531,accessories,echo design women's knit touch glove and earbuds music set,echo,45.0,women
14109,11.7860698589,accessories,echo design women's touch ruched gloves,echo,29.9899997711,women
14139,11.0319999568,accessories,echo design women's racking stitch newsboy hat,echo,28.0,women
14232,12.2079999149,accessories,echo design women's echo touch warmers knit glove,echo,28.0,women
14234,16.6439998969,accessories,echo design women's sculptural pleats muffler,echo,38.0,women
15981,20.429999996,plus,echo design women's knit touch glove and earbuds music set,echo,45.0,women
28627,15.4655806699,accessories,echo design men's warmers touch glove,echo,34.9900016785,men
23312,27.3257004292,shorts,ergo clothing scratch board short - men's,ergo,51.9500007629,men
27003,9.296279856,sleep & lounge,navy satin bath robe for men,easy,24.9899997711,men
17483,45.4789999947,fashion hoodies & sweatshirts,howe men's agenda surrender hoodie,howe,89.0,men
20265,57.9985506177,suits & sport coats,howe men's everything changes blazer,howe,133.3300018311,men
20495,71.6399998814,suits & sport coats,howe men's personal jesus blazer,howe,199.0,men
22561,49.0050001033,pants,howe men's the finest pant,howe,99.0,men
22622,28.6087894397,pants,hause of howe  men's the finest plaid trouser,howe,58.0299987793,men
22462,24.3000000603,pants,jslv the worker pants in chocolate,jslv,54.0,men
15917,1.6379999947,plus,keds popcorn socks in 3 pack different style great colors,keds,3.5,women
12216,9.0129898883,intimates,lace bra and panty set neon pink neon yellow black,kiss,17.9899997711,women
12217,11.3743098724,intimates,set: mini heart bra and sexy lace bottom panty,kiss,19.9899997711,women
9674,21.0989710652,sleep & lounge,lanz originals women's knit and lace sleeveless short gown,lanz,34.9900016785,women
3860,9.2753598875,dresses,junior's halter dress with round buckle,mw22,19.9899997711,women
5602,15.7836503812,pants & capris,womens tuxedo trouser - polyester double pleated straight waist,mina,29.9500007629,women
7337,13.297800287,skirts,100 % polyester tuxedo skirts black-your choice mid length (left hand side) or full length (right hand side),mina,29.9500007629,women
17691,21.1147209208,fashion hoodies & sweatshirts,notw edgy pullover hoodie,notw,39.9900016785,men
17981,38.3040000498,fashion hoodies & sweatshirts,obey the trademark zip hood in jet black,obey,76.0,men
18011,31.6512005099,fashion hoodies & sweatshirts,obey printing press hoodie heather charcoal mens,obey,54.9500007629,men
27630,73.5799999535,swim,onia men's calder 7.5 swim shorts,onia,130.0,men
27946,93.670000229,swim,onia men's spanish calder swim shorts,onia,145.0,men
2935,5.2995799188,active,pony women's 6-pairs athletic low cut socks - many cute patterns,pony,11.9899997711,women
17702,20.9963203747,fashion hoodies & sweatshirts,ride logo mens pullover hoodie electric blue sz s,ride,37.3600006104,men
27912,31.8079999983,swim,2eros - s03-07 - icon2 low rise quick dry swim shorts - black mystic pink or blue,2eros,56.0,men
9326,5.3135998451,socks & hosiery,acorn grippy versafit socks,acorn,14.3999996185,women
132,15.4799999669,tops & tees,asics women's core long sleeve shirt,asics,30.0,women
191,13.6195498501,tops & tees,asics women's core short sleeve shirt,asics,24.9899997711,women
271,10.4793503924,tops & tees,asics women's circuit 7 singlet,asics,18.9500007629,women
306,23.7308408154,tops & tees,asics women's favorite long sleeve shirt,asics,45.9900016785,women
567,22.0744808577,tops & tees,asics women's competition long sleeve,asics,39.9900016785,women
634,23.1248607984,tops & tees,asics women's rib i tech 1/2 zip pullover,asics,44.9900016785,women
2480,15.0120000634,active,asics women's performance running capri tight,asics,36.0,women
2493,5.7056998637,active,asics women's intensity low sock,asics,13.6499996185,women
2548,10.8079999983,active,asics women's low cut short,asics,28.0,women
2578,9.8960399488,active,asics women's core short sleeve shirt,asics,24.9899997711,women
2595,8.25,active,asics women's circuit 7 warm-up long sleeve short,asics,22.0,women
2677,7.9852999355000005,active,ascis hydrology low socks (pack of 3),asics,16.9899997711,women
2691,6.1834498492,active,ascis intensity low socks (pack of 3),asics,13.6499996185,women
2739,6.5751299448000005,active,asics women's hydrology low sock,asics,16.9899997711,women
2747,21.2013909081,active,asics women's favorite long sleeve shirt,asics,45.9900016785,women
2796,373.8420015676,active,ascis cushion low socks (pack of 3),asics,903.0,women
2875,12.9236098236,active,asics women's field skirt,asics,32.3899993896,women
2923,11.4750000648,active,asics women's ready set long sleeve top,asics,25.0,women
2986,11.2500000279,active,asics women's ready set short sleeve top,asics,25.0,women
2991,5.7221999473,active,asics women's intensity quarter sock,asics,14.4499998093,women
2992,8.3160000518,active,asics women's core tank,asics,22.0,women
3028,11.5761399099,active,asics women's team split short,asics,29.9899997711,women
8754,38.0755189716,outerwear & coats,asics women's thermopolis lt jacket,asics,84.9899978638,women
11058,15.0222198611,intimates,asics women's stride running brief,asics,25.9899997711,women
12856,13.0181706874,swim,womens asics aneka boardshort unlined shorts,asics,33.9900016785,women
13710,8.249999959,accessories,asics unisex adult thrmopolis lt beanie,asics,22.0,women
14345,12.5363996205,maternity,asics women's legato ii tight,asics,26.9599990845,women
15448,11.8580000177,plus,asics unisex adult thrmopolis lt beanie,asics,22.0,women
16875,25.5779998899,tops & tees,asics men's favorite short sleeve top,asics,42.0,men
18132,9.7250000574,active,asics men's myles ii running tight,asics,25.0,men
18154,22.9270504797,active,asics men's myles ii running pant,asics,49.9500007629,men
18163,11.4600000903,active,asics men's asics core long sleeve top,asics,30.0,men
18290,16.4358907769,active,asics men's running compression long sleeve,asics,39.9900016785,men
18418,13.6759995271,active,asics men's team medley tight,asics,34.1899986267,men
18451,19.6837208181,active,asics men's favorite long sleeve top,asics,45.9900016785,men
18464,8.5573401124,active,asics men's circuit 7 warm-up long sleeve short,asics,21.3400001526,men
18767,9.2138099424,active,asics men's core tank,asics,21.9899997711,men
18768,11.1750000622,active,asics men's asx boxer,asics,25.0,men
18773,18.8580000401,active,asics men's favorite short sleeve top,asics,42.0,men
18794,10.6750000501,active,asics men's ready set singlet,asics,25.0,men
25824,12.4000000302,underwear,asics men's asx boxer,asics,25.0,men
28486,8.9099999648,accessories,asics unisex adult thrmopolis lt beanie,asics,22.0,men
21084,108.4449998528,jeans,agave men's waterman relaxed grey jean,agave,205.0,men
21266,95.274999938,jeans,agave men's waterman relaxed soft jean,agave,185.0,men
21412,110.6999998167,jeans,agave men's waterman relaxed fit straight leg jean,agave,205.0,men
5058,36.234098365,jeans,ariat 9437 women's double trouble boyfriend sugar devil,ariat,69.9499969482,women
9107,4.3580998895,socks & hosiery,ariat 9398 women's western boot knee high sock pink,ariat,9.9499998093,women
20746,47.6406009129,jeans,ariat 7775 men's m4 low rise boot tabac,ariat,83.5800018311,men
20765,41.3592887538,jeans,ariat 8403 men's m4 low rise boot scoundrel,ariat,85.6299972534,men
20842,44.1028007641,jeans,ariat 8398 men's m2 relaxed granite,ariat,82.9000015259,men
20898,44.6002007968,jeans,men's ariat relaxed fit lower rise m3 athletic jeans,ariat,82.9000015259,men
21208,43.3567007245,jeans,ariat 8402 men's m4 low rise boot roadhouse,ariat,82.9000015259,men
21218,38.1227482664,jeans,ariat 10328 men's m3 horizon gunsmoke,ariat,69.9499969482,men
21499,39.0544188215,jeans,ariat 9425 men's m4 low rise boot blue canyon,ariat,69.9899978638,men
21559,44.1544787576,jeans,ariatâ® m4 skirmish relaxed low rise jean for m,ariat,79.9899978638,men
22285,54.8902500067,pants,ariat 7308 men's heritage front zip,ariat,112.25,men
18447,6.7320000269,active,c-in2 men's pop color street jock,c-in2,17.0,men
18559,7.9800000414,active,c-in2 men's core basic strap jock,c-in2,20.0,men
18757,23.1599999964,active,c-in2 men's move plank short,c-in2,60.0,men
25576,9.1200000048,underwear,c-in2 men's pop color lo no show profile brief,c-in2,20.0,men
25717,11.904000029,underwear,c-in2 men's pop colors army trunk,c-in2,24.0,men
25720,13.4680000283,underwear,c-in2 men's prime lo no show profile brief,c-in2,26.0,men
25746,9.7800000012,underwear,c-in2 men's zen street jock strap,c-in2,20.0,men
25771,25.5500000902,underwear,c-in2 men's prime long john,c-in2,50.0,men
25820,14.3080000505,underwear,c-in2 men's prime square neck tank top,c-in2,28.0,men
25829,14.3360000253,underwear,c-in2 men's zen tank top,c-in2,32.0,men
25834,12.8400000371,underwear,c-in2 men's zen army trunk,c-in2,30.0,men
25848,12.7920000143,underwear,c-in2 men's zen slider brief,c-in2,26.0,men
25856,13.5899999924,underwear,c-in2 men's prime army boxer brief,c-in2,30.0,men
25890,6.264090021,underwear,c-in2 men's filthy jock brief,c-in2,14.6700000763,men
25909,11.1120000109,underwear,c-in2 men's pop color square neck tank top,c-in2,24.0,men
25911,24.6000000276,underwear,c-in2 men's filthy v-neck short sleeve tee,c-in2,50.0,men
25949,12.0380000118,underwear,c-in2 men's hand me down ringer tank top,c-in2,26.0,men
25991,12.4990595763,underwear,c-in2 men's grip profile brief,c-in2,24.4599990845,men
26013,11.0499999709,underwear,c-in2 men's hand me down army trunk,c-in2,26.0,men
26051,12.6879999973,underwear,c-in2 men's prime punt boxer brief,c-in2,26.0,men
26094,13.888000071,underwear,c-in2 men's pop color deep v-neck tee,c-in2,32.0,men
26115,8.3039999902,underwear,c-in2 men's core basic profile brief,c-in2,16.0,men
26150,8.9800000191,underwear,c-in2 men's core basic tank top,c-in2,20.0,men
26155,7.5300000329,underwear,c-in2 men's core basic thong,c-in2,15.0,men
26161,11.1000000034,underwear,c-in2 men's core basic runner short,c-in2,25.0,men
26164,7.4720000103,underwear,c-in2 men's core profile brief,c-in2,16.0,men
26226,12.7859204327,underwear,c-in2 men's core basic long underwear,c-in2,28.5400009155,men
26249,18.3920000419,underwear,c-in2 men's zen crew neck tee,c-in2,38.0,men
26264,11.0400000215,underwear,c-in2 men's filthy lo no show brief,c-in2,24.0,men
26265,17.640000008,underwear,c-in2 men's prime deep v-neck tee,c-in2,36.0,men
26269,7.6859999858,underwear,c-in2 men's core basic lo no show profile brief with sling,c-in2,18.0,men
26270,17.8920000494,underwear,c-in2 men's zen strong arm v-neck t-shirt,c-in2,36.0,men
26295,13.0799999647,underwear,c-in2 men's grip compression,c-in2,30.0,men
26301,11.8450000565,underwear,c-in2 men's core no show army trunk with sling,c-in2,23.0,men
26305,14.2500000168,underwear,c-in2 men's grip army trunk,c-in2,30.0,men
26388,14.0560000613,underwear,c-in2 men's core basic crew neck tee,c-in2,28.0,men
26392,9.744000013,underwear,c-in2 men's core lo no show army trunk,c-in2,21.0,men
26393,15.504999999,underwear,c-in2 men's crew neck long sleeve t shirt,c-in2,35.0,men
26421,18.0250000861,underwear,c-in2 men's hand me down ringer vee neck tee shirt,c-in2,35.0,men
26439,8.420000039,underwear,c-in2 men's core basic square neck tank top,c-in2,20.0,men
17339,29.0520000346,fashion hoodies & sweatshirts,c1rca men's icon zip fleece,c1rca,54.0,men
17694,26.5734004818,fashion hoodies & sweatshirts,c1rca men's icon pullover fleece,c1rca,49.9500007629,men
18006,44.0820000889,fashion hoodies & sweatshirts,c1rca men's gustav tac zip fleece,c1rca,79.0,men
20175,34.2985485049,suits & sport coats,tuxedo vest - solid satin with matching pin ascot turquoise,cardi,79.9499969482,men
16811,18.2484005524,tops & tees,ralph lauren chaps solid piquã© - big & tall,chaps,32.8800010681,men
19353,19.1025205229,sweaters,chaps big and tall argyle v-neck vest,chaps,39.8800010681,men
19364,19.8602405281,sweaters,chaps big and tall solid v-neck vest,chaps,39.8800010681,men
19369,13.4945998541,sweaters,chaps long - sleeved cotton crew sweater,chaps,24.9899997711,men
19434,21.0965205318,sweaters,chaps big and tall solid v-neck vest,chaps,39.8800010681,men
19509,18.2650405118,sweaters,chaps big and tall argyle v-neck vest,chaps,39.8800010681,men
19586,21.2560405622,sweaters,chaps big and tall solid v-neck vest,chaps,39.8800010681,men
19742,19.660840518,sweaters,chaps big and tall solid v-neck vest,chaps,39.8800010681,men
27291,26.4599999785,sleep & lounge,chaps men's (s-xxl) short sleeve jersey v-neck/knit pant sleep set,chaps,60.0,men
27293,24.5999998972,sleep & lounge,chaps men's long sleeve microfleece crew/flannel pant sleep set red/plaid,chaps,60.0,men
5825,30.7720001154,leggings,chyor leggings for spring fall,chyor,49.0,women
9015,21.8539999314,socks & hosiery,chyor tights for winter,chyor,49.0,women
9435,19.3059999244,socks & hosiery,chyor tights for spring fall,chyor,49.0,women
22341,25.4357608583,pants,drake fleece lined flyway canvas pants,drake,59.9900016785,men
21574,180.5208966143,jeans,evisu european edition vintage cut denim jeans,evisu,349.1700134277,men
7033,14.3226699178,shorts,grass collection plain front short,grass,29.4099998474,women
7053,8.0613396583,shorts,grass band hem shorts,grass,16.2199993134,women
